Retailer;Salerank;X2013USSales;X2013WorldSales;ProfitMargin;NumStores;Industry;Reward;ProgramName;RewardType;RewardStructure;RewardSize;ExpirationMonth;IndustryType
Menards;46;8,892;16,228;83,48;0,284;Home Improvement Stores;1;Menards Big Card;store credit;Get 2% store credit every quarter;2;999;Specialty
Neiman Marcus;86;4,648;4,648;25,59;0,085;Department Stores;1;InCircle;store credit;Spend $5,000 earn 10,00 points = $100 reward certificate for future purchase;2;6;Department
Nordstrom;33;12,366;11,859;77,64;0,26;Apparel Stores;1;Nordstrom Rewards;store credit  and various rewards;Spend $1,000 earn 2,000 points = $20 reward certificate for future purchase;2;12;Specialty
Office Depot;61;7,022;10,485;87,39;1,07;Specialty Retail, Other;1;Choice Member;store credit;Get 10% discount in rewards for shopping paper, ink, toner;10;2;Specialty
OfficeMax;85;4,652;6,077;89,06;0,823;Specialty Retail, Other;1;Choice Member;store credit;Get 10% discount in rewards for shopping paper, ink, toner;10;2;Specialty
O'Reilly Automotive;65;6,649;6,649;95,72;4,166;Auto Parts Stores;1;O'Rewards;store credit;Spend $150  earn 150 points = $5 O'Rewards coupon ;3,33;12;Specialty
Price Chopper Supermrkts;97;3,784;3,784;16,46;0,132;Discount, Variety Stores;1;AdvantEdge;gas discount;Spend $100 for $0.10 up to 20 gallons;2;2;Discount
Rite Aid;18;25,526;25,526;11,21;4,587;Drug Stores;1;Wellness+ ;store credit;Spend $250  = 10% off future purchases;5;12;Specialty
Safeway;10;37,534;42,982;44,22;1,335;Grocery Stores;1;Reward Points;gas discount;Spend $100 and earn 0.10 off per gallon for a single fillup;1,5;1;Grocery
Save Mart;80;4,889;4,889;19,35;0,226;Discount, Variety Stores;1;SaveSmart;store credit;Spend $100 earn 100 points = $1.1 worth of coupon;1,1;3;Discount
Sears Holdings;16;26,614;31,283;45,52;1,905;Department Stores;1;Shop Your Way Rewards;store credit;Spend $100 earn 1000 points = $1 reward certificate;1;12;Department
Signet Jewelers (Kay's);99;3,647;4,203;23,17;1,471;Specialty Retail, Other;1;Instant Rewards;store credit;Spend $300 = $100 off next purchase;33,33;6;Specialty
Staples;47;8,883;8,64;50,15;1,515;Specialty Retail, Other;1;Staples Rewards;store credit;2% or 5% on everything except postage stamps;3,5;3;Specialty
Starbucks;42;9,631;9,972;71,56;11,513;Restaurants;1;My Starbucks Rewards;free product;Buy 12 drinks to earn 12 stars  =  free drink;8;1;Restaurants
Subway;31;12,861;12,917;11,39;26,644;Restaurants;1;SUBWAY Card Rewards Program;;Spend $1 earn 1 point = various rewards (e.g., 75 pts for footlong subs);6,7;36;Restaurants
SUPERVALU;37;10,967;50,081;70,06;1,544;Grocery Stores;1;My Cub Rewards;gas discount;Spend $50  = $.05 off per gallon;1,5;1;Grocery
The Home Depot;5;69,951;78,812;58,4;1,965;Home Improvement Stores;1;Fuel Rewards;gas discount;Spend $100/$1,000/$2,000/$4,000 earn 100/1,000/2,000/4,000 points = $.10/$1.00/$2.00/$4.00 off per gallon at participating Shell stations;1,5;1;Specialty
TJX;19;20,923;27,423;72,4;2,454;Department Stores;1;Reward The Public;store credit;Spend $200 earn 1,000 points = $10 reward certificate for future purchase;5;24;Department
"Toys ""R"" Us";57;7,525;13,307;79,33;0,868;Specialty Retail, Other;1;"Rewards""R"" Us";store credit;Spend $125 earn $5 Reward Dollars for future purchases;4;12;Specialty
Tractor Supply;77;5,165;5,165;2,65;1,276;Specialty Retail, Other;1;Neighbor's Club;store credit;Spend $150 X3 times earn seasonal (quarterly) reward ($5 store credit);1,11;3;Specialty
True Value;27;16,33;16,33;38,69;4,494;Home Improvement Stores;1;TrueValue Rewards;store credit;Spend $250 earn 2,500 points = $5 reward certificate for future purchase;2;24;Specialty
Walgreen;6;68,068;70,096;23,47;7,998;Drug Stores;1;Balance Rewards;store credit;500 points on every prescription filled in the pharmacy, good for $5 discount of future purchase;10;6;Specialty
Williams-Sonoma;89;4,163;4,388;30,09;0,553;Home Furnishing Stores;1;Williams-Sonoma Visa??Signature??Card;store credit;Spend $3,333 earn 10,000 pts = $100 gift card;3;999;Specialty
